ISO;Country;Units;Scale;2017;2018;Estimates Start After
SVN;Slovenia;"Purchasing power parity; international dollars";Units;34477,301;36741,444;2017
SLB;Solomon Islands;"Purchasing power parity; international dollars";Units;2162,671;2251,231;2015
SOM;Somalia;"Purchasing power parity; international dollars";Units;;;
ZAF;South Africa;"Purchasing power parity; international dollars";Units;13396,126;13629,758;2018
SSD;South Sudan;"Purchasing power parity; international dollars";Units;1530,686;1503,755;2008
ESP;Spain;"Purchasing power parity; international dollars";Units;38264,747;40172,154;2018
LKA;Sri Lanka;"Purchasing power parity; international dollars";Units;12860,158;13443,436;2017
KNA;St. Kitts and Nevis;"Purchasing power parity; international dollars";Units;27648,537;29322,838;2015
LCA;St. Lucia;"Purchasing power parity; international dollars";Units;13768,86;14114,224;2015
VCT;St. Vincent and the Grenadines;"Purchasing power parity; international dollars";Units;11465,837;11969,826;2016
SDN;Sudan;"Purchasing power parity; international dollars";Units;4347,173;4229,275;2011
SUR;Suriname;"Purchasing power parity; international dollars";Units;14649,897;15110,525;2016
SWE;Sweden;"Purchasing power parity; international dollars";Units;51742,207;53651,789;2018
CHE;Switzerland;"Purchasing power parity; international dollars";Units;62231,145;65009,82;2017
SYR;Syria;"Purchasing power parity; international dollars";Units;n/a;n/a;2010
TWN;Taiwan Province of China;"Purchasing power parity; international dollars";Units;50520,186;53074,323;2018
TJK;Tajikistan;"Purchasing power parity; international dollars";Units;3182,41;3426,533;2014
TZA;Tanzania;"Purchasing power parity; international dollars";Units;3077,893;3273,038;2012
THA;Thailand;"Purchasing power parity; international dollars";Units;18304,149;19484,028;2018
TLS;Timor-Leste;"Purchasing power parity; international dollars";Units;5395,537;4972,603;2015
TGO;Togo;"Purchasing power parity; international dollars";Units;1669,268;1749,715;2016
TON;Tonga;"Purchasing power parity; international dollars";Units;5907,781;6148,481;2018
TTO;Trinidad and Tobago;"Purchasing power parity; international dollars";Units;31557,703;32283,649;2017
TUN;Tunisia;"Purchasing power parity; international dollars";Units;11926,868;12384,355;2017
TUR;Turkey;"Purchasing power parity; international dollars";Units;27017,81;28044,394;2018
TKM;Turkmenistan;"Purchasing power parity; international dollars";Units;18138,138;19518,095;2004
TUV;Tuvalu;"Purchasing power parity; international dollars";Units;3809,162;4053,323;2012
UGA;Uganda;"Purchasing power parity; international dollars";Units;2367,719;2497,299;2016
UKR;Ukraine;"Purchasing power parity; international dollars";Units;8741,485;9287,334;2018
ARE;United Arab Emirates;"Purchasing power parity; international dollars";Units;68337,512;69222,478;2005
GBR;United Kingdom;"Purchasing power parity; international dollars";Units;44301,434;45740,756;2018
USA;United States;"Purchasing power parity; international dollars";Units;59999,508;62868,917;2018
URY;Uruguay;"Purchasing power parity; international dollars";Units;22328,141;23157,966;2015
UZB;Uzbekistan;"Purchasing power parity; international dollars";Units;8001,652;8498,357;2017
VUT;Vanuatu;"Purchasing power parity; international dollars";Units;2770,353;2862,812;2017
VEN;Venezuela;"Purchasing power parity; international dollars";Units;12263,83;10797,621;2010
VNM;Vietnam;"Purchasing power parity; international dollars";Units;6917,877;7513,112;2016
YEM;Yemen;"Purchasing power parity; international dollars";Units;2244,425;2253,315;2017
ZMB;Zambia;"Purchasing power parity; international dollars";Units;3997,776;4117,823;2010
ZWE;Zimbabwe;"Purchasing power parity; international dollars";Units;2782,078;2908,261;2012
;;;;;;
International Monetary Fund, World Economic Outlook Database, October 2019;;;;;;
